date,hour,occupied,start_available,price,occupied_start,comedy_event,concert,flights_cancelled,flights_cancelled_notice,large_event,national_holiday,school_holiday,show,sports,travel_disruption,travel_disruption_notice,weather,otb_today_hour,airport_open,last_hour
2014-04-02,9,8,172,68.0,159,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-02,10,3,164,66.0,159,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-02,11,5,161,66.0,159,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2014-04-02,12,2,156,66.0,159,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-02,13,1,154,71.0,159,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
2014-04-02,14,3,153,71.0,159,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
2014-04-02,15,4,150,72.0,159,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
2014-04-02,16,4,146,152.0,159,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
2014-04-02,17,4,142,63.0,159,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
2014-04-02,18,3,138,67.0,159,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
2014-04-02,19,4,135,73.0,159,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
2014-04-02,20,7,131,71.0,159,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0
2014-04-02,21,3,124,74.0,159,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
2014-04-02,22,3,121,69.0,159,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
2014-04-02,23,1,118,66.0,159,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1
2014-04-03,0,0,148,68.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,1,0,148,68.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,2,0,148,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,3,1,148,68.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,4,0,147,67.0,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-03,5,1,147,68.0,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-03,6,0,146,66.0,170,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-03,7,2,146,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2014-04-03,8,0,144,70.0,170,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-03,9,2,144,73.0,170,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-03,10,2,142,75.0,170,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-03,11,1,140,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-03,12,6,139,69.0,170,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-03,13,5,133,73.0,170,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2014-04-03,14,5,128,74.0,170,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2014-04-03,15,3,123,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-03,16,2,120,75.0,170,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
2014-04-03,17,0,118,70.0,170,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
2014-04-03,18,2,118,70.0,170,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
2014-04-03,19,0,116,70.0,170,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
2014-04-03,20,7,116,74.0,170,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
2014-04-03,21,3,109,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
2014-04-03,22,3,106,70.0,170,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2014-04-03,23,3,103,71.0,170,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
2014-04-04,0,0,144,67.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,1,0,144,68.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,2,0,144,69.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,3,0,144,69.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,4,0,144,70.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,5,1,144,70.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,6,1,143,75.0,192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-04,7,2,142,110.0,192,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2014-04-04,8,0,140,115.0,192,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-04,9,1,140,113.0,192,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-04,10,4,139,76.0,192,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2014-04-04,11,2,135,77.0,192,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-04,12,6,133,72.0,192,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
2014-04-04,13,1,127,70.0,192,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-04,14,1,126,73.0,192,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
2014-04-04,15,5,125,73.0,192,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-04,16,1,120,73.0,192,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
2014-04-04,17,6,119,75.0,192,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-04,18,0,113,75.0,192,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
2014-04-04,19,2,113,79.0,192,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
2014-04-04,20,8,111,76.0,192,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
2014-04-04,21,3,103,31.0,192,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2014-04-04,22,0,100,33.0,192,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
2014-04-04,23,3,100,77.0,192,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1
2014-04-05,0,2,119,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-05,1,0,117,84.0,218,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-05,2,0,117,85.0,218,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-05,3,0,117,82.0,218,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-05,4,1,117,84.0,218,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-05,5,1,116,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-05,6,1,115,82.0,218,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-05,7,0,114,81.0,218,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2014-04-05,8,0,114,82.0,218,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2014-04-05,9,4,114,74.0,218,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2014-04-05,10,3,110,80.0,218,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-05,11,4,107,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2014-04-05,12,1,103,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
2014-04-05,13,0,102,77.0,218,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-05,14,2,102,74.0,218,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-05,15,5,100,53.0,218,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-05,16,4,95,78.0,218,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
2014-04-05,17,2,91,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
2014-04-05,18,0,89,81.0,218,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
2014-04-05,19,5,89,83.0,218,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
2014-04-05,20,3,84,71.0,218,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
2014-04-05,21,3,81,74.0,218,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2014-04-05,22,5,78,73.0,218,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2014-04-05,23,5,73,79.0,218,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1
2014-04-06,0,1,137,79.0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,1,1,136,79.0,189,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-06,2,0,135,78.0,189,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-06,3,1,135,78.0,189,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-06,4,1,134,75.0,189,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-06,5,0,133,78.0,189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-06,6,2,133,81.0,189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-06,7,0,131,83.0,189,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-06,8,2,131,75.0,189,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-06,9,0,129,72.0,189,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-06,10,1,129,77.0,189,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-06,11,1,128,75.0,189,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-06,12,3,127,78.0,189,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2014-04-06,13,0,124,82.0,189,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-06,14,1,124,78.0,189,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-06,15,1,123,76.0,189,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-06,16,5,122,82.0,189,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2014-04-06,17,1,117,86.0,189,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2014-04-06,18,2,116,81.0,189,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
2014-04-06,19,1,114,76.0,189,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2014-04-06,20,0,113,72.0,189,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
2014-04-06,21,4,113,84.0,189,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
2014-04-06,22,2,109,80.0,189,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2014-04-06,23,2,107,80.0,189,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1
2014-04-07,0,0,162,78.0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,1,0,162,75.0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,2,0,162,80.0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,3,1,162,83.0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,4,0,161,72.0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-07,5,0,161,81.0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-07,6,0,161,79.0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-07,7,3,161,33.0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2014-04-07,8,2,158,75.0,171,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-07,9,3,156,66.0,171,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-07,10,2,153,76.0,171,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-07,11,1,151,73.0,171,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
2014-04-07,12,1,150,77.0,171,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2014-04-07,13,3,149,75.0,171,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-07,14,2,146,74.0,171,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
2014-04-07,15,0,144,73.0,171,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
2014-04-07,16,7,144,73.0,171,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
2014-04-07,17,2,137,77.0,171,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-07,18,3,135,77.0,171,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
2014-04-07,19,5,132,72.0,171,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
2014-04-07,20,1,127,75.0,171,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
2014-04-07,21,5,126,78.0,171,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2014-04-07,22,5,121,75.0,171,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2014-04-07,23,5,116,71.0,171,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1
2014-04-08,0,0,160,70.0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,1,3,160,73.0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,2,0,157,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-08,3,0,157,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-08,4,1,157,72.0,179,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-08,5,1,156,72.0,179,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-08,6,1,155,74.0,179,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2014-04-08,7,0,154,74.0,179,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-08,8,0,154,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-08,9,4,154,73.0,179,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-08,10,2,150,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2014-04-08,11,1,148,71.0,179,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2014-04-08,12,0,147,78.0,179,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-08,13,1,147,73.0,179,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-08,14,1,146,73.0,179,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-08,15,6,145,77.0,179,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2014-04-08,16,4,139,76.0,179,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
2014-04-08,17,11,135,70.0,179,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-08,18,1,124,73.0,179,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
2014-04-08,19,0,123,71.0,179,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
2014-04-08,20,3,123,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
2014-04-08,21,9,120,77.0,179,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2014-04-08,22,2,111,75.0,179,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2014-04-08,23,10,109,69.0,179,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1
2014-04-09,0,2,176,69.0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,1,1,174,69.0,167,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-09,2,0,173,66.0,167,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-09,3,0,173,66.0,167,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-09,4,1,173,66.0,167,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-09,5,1,172,65.0,167,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-09,6,1,171,65.0,167,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2014-04-09,7,1,170,67.0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-09,8,1,169,73.0,167,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2014-04-09,9,1,168,73.0,167,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-09,10,7,167,76.0,167,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
2014-04-09,11,3,160,71.0,167,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
2014-04-09,12,3,157,76.0,167,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-09,13,0,154,75.0,167,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
2014-04-09,14,0,154,69.0,167,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
2014-04-09,15,3,154,72.0,167,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
2014-04-09,16,0,151,73.0,167,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-09,17,4,151,74.0,167,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
2014-04-09,18,2,147,70.0,167,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
2014-04-09,19,2,145,72.0,167,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
2014-04-09,20,9,143,69.0,167,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
2014-04-09,21,5,134,67.0,167,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2014-04-09,22,5,129,70.0,167,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
2014-04-09,23,8,124,73.0,167,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1
2014-04-10,0,0,133,71.0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,1,0,133,71.0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,2,1,133,75.0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,3,1,132,76.0,199,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-10,4,0,131,74.0,199,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-10,5,0,131,70.0,199,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-10,6,1,131,70.0,199,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-10,7,0,130,69.0,199,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-10,8,0,130,72.0,199,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-10,9,4,130,71.0,199,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-10,10,7,126,63.0,199,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2014-04-10,11,0,119,64.0,199,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-10,12,1,119,64.0,199,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-10,13,2,118,63.0,199,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2014-04-10,14,0,116,58.0,199,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-10,15,2,116,71.0,199,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-10,16,2,114,70.0,199,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-10,17,7,112,70.0,199,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
2014-04-10,18,4,105,68.0,199,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
2014-04-10,19,6,101,70.0,199,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
2014-04-10,20,9,95,67.0,199,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
2014-04-10,21,2,86,71.0,199,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
2014-04-10,22,0,84,69.0,199,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2014-04-10,23,5,84,74.0,199,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1
2014-04-11,0,2,118,72.0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,1,0,116,71.0,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-11,2,0,116,71.0,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-11,3,0,116,71.0,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-11,4,0,116,73.0,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-11,5,1,116,70.0,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-11,6,0,115,72.0,210,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-11,7,1,115,72.0,210,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-11,8,3,114,75.0,210,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-11,9,0,111,73.0,210,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2014-04-11,10,5,111,73.0,210,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2014-04-11,11,6,106,78.0,210,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2014-04-11,12,1,100,80.0,210,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
2014-04-11,13,0,99,77.0,210,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-11,14,4,99,75.0,210,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2014-04-11,15,3,95,79.0,210,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2014-04-11,16,34,92,81.0,210,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
2014-04-11,17,9,58,77.0,210,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
2014-04-11,18,8,49,81.0,210,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
2014-04-11,19,1,41,79.0,210,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
2014-04-11,20,3,40,88.0,210,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0
2014-04-11,21,5,37,82.0,210,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
2014-04-11,22,0,32,85.0,210,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
2014-04-11,23,12,32,40.0,210,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1
2014-04-12,0,1,133,17.0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,1,0,132,12.0,201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-12,2,0,132,14.0,201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-12,3,1,132,13.0,201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-12,4,0,131,15.0,201,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-12,5,1,131,10.0,201,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-12,6,0,130,15.0,201,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-12,7,0,130,11.0,201,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-12,8,3,130,79.0,201,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2014-04-12,9,2,127,80.0,201,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2014-04-12,10,2,125,81.0,201,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-12,11,2,123,89.0,201,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2014-04-12,12,2,121,80.0,201,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2014-04-12,13,3,119,80.0,201,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-12,14,3,116,87.0,201,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2014-04-12,15,4,113,94.0,201,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2014-04-12,16,4,109,76.0,201,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
